title,artist,mappers,difficulties_amount,version
Long Live The New Fresh,Danimal Cannon,WaterBottle317,1,1
Logic Gatekeeper,Danimal Cannon & Zef,AzureWolfie,1,1
Uz,DaniwellP,KindClutch,1,1
The Battle of Lil' Slugger,Danny Baranowsky,ZitroNitro,1,1
Frontier Justice,Dapper Dog,DyamoDash,1,1
CRAZY MILK,dark cat,ZitroNitro,1,1
Stars Align,dark cat,HaxagonYT,1,1
Underwater Pool,dark cat,trippleAAA3three,1,1
Sandstorm (DidrickRemix),Darude,BatBrice,1,1
Scum (MONXX Remix),Datsik,BatBrice,1,1
Tri Poloski,Davay,Username_NotRequired,1,1
All I Want for Christmas is You,Dave Rodgers,Username_NotRequired,1,1
Beat of the Rising Sun,Dave Rodgers,Username_NotRequired,1,1
Deja Vu (Remix),Dave Rodgers,Username_NotRequired,1,1
Saturday Night Fever,Dave Rodgers,UsernameNotRequired,1,1
Space Boy,Dave Rodgers,Username_NotRequired,1,1
Sweet Victory,David Glen Eisley,Username_NotRequired,1,1
Titanium (Nightcore),David Guetta,mm1678YT,1,1
Double Rainboom Easy,David Larsen ft. MandoPony,UsernameNotRequired,1,1
Scooby Doo (Where Are You?) Theme Song,David Mook,Crucru03,1,1
Sinking Ships (SlyphStorm Remix),Dawn Somewhere,Username_NotRequired,1,1
The Only Sword I Can Swing,DaymanOurSavior,DyamoDash,1,1
Ground Zero,DAϟH,AshFromKaaba,1,1
The Devil Plays Dance Games,dbk2,gold_wolf,1,1
xajncs jsnadet,DeadlyBeats,DyamoDash,1,1
Monophobia,deadmau5 ft. Rob Swire,Username_NotRequired,1,1
Death Brekfast,Filthy,nextro420,1,1
Hibana,DECO*27,mm1678YT,1,1
Miami Hotline Vol.3,Demonicity,Username_NotRequired,1,1
Undone,Desmeon,diamondKing6432,1,1
Annihilate,Destroid,TotoPowah,1,1
Golden Haze,Detious,DyamoDash,1,1
Volcanic,DETRO,Plxsma_RBLX,1,1
Volcanic (Full),DETRO,DyamoDash,1,1
Unarmed,Dex Arson ft. Emily Abela,OKZitro,1,1
Bipolar Bossfight Remix,Dex Arson,Crucru03,1,1
Immunity,Dex Arson,Crucru03,1,1
Crazy Beauties,Diabarha,BasedSammy,1,1
Dead Zone,Diabarha,EA_Crazed,1,1
Haunted Dungeons,Diabarha,EA_Crazed,1,1
Laser on Her Forehead,Diabarha,EA_Crazed,1,1
Paranoid,Diabarha,EA_Crazed,1,1
Romantic Story of the Prodigal Daughter,Diabarha,EA_Crazed,1,1
Haunted Dungeons,Diabarha,Ender,2,1
Die In Your Arms Tonight,M1dlet,EA_Crazed,1,1
Omg,Different Heaven,andrew2005689,1,1
Forsaken Neon,Dimrain47,Username_NotRequired & Azurlexx,1,1
Infernoplex,Dimrain47,GDWither,1,1
Surface,Dimrain47,Username_NotRequired,1,1
Twilight Techno,Dimrain47,Username_NotRequired,1,1
Midnight Sky,Dirty Androids,Suyolite,1,1
Hammer,Dirtyphonics & Sullivan King,ob1cb,1,1
Vantablack,Dirtyphonics & Sullivan King,Azurlexx,1,1
Fucking Disgusting Scum,Seifuku Yangire,dyamodash,1,1
Over Sky,DJ Genki ft. Yukacco & moimoi,Azurlexx,1,1
Rainbow Dream,DJ Genki ft. Yukacco,EA_Crazed,1,1
Sunshine,DJ Genki vs. Camellia ft. moimoi,EA_Crazed,1,1
YELL!,DJ Genki VS Camellia ft. moimoi,EA_Crazed,1,1
Einherjar Joker,Dj Genki vs Gram,nextro420,1,1
Catapult Marshmallow,DJ Genki vs Kobaryo,EA_Crazed,1,1
Noisy Minority,DJ Grimoire,Crucru03,1,1
Vajra,DJ Grimoire,ZitroNitro,1,1
Beefzone,DJ Joel,DyamoDash,1,1
Prismatic Lollipops!,Dj Mashiro,WaterBottle317,1,1
ICEBLAST,DJ Myosuke ft. Filthy,GDWither,1,1
Destiny of the Speed,DJ Myosuke,AshFromKaaba,1,1
GENOCIDER,DJ Myosuke,DyamoDash,1,1
JINGLE DEATH,DJ Myosuke & Gram,DyamoDash,1,1
Killing Rhythm,DJ Myosuke,DyamoDash,1,1
Livingdead,DJ Myosuke,DyamoDash,1,1
Neverland,DJ Myosuke,EA_Crazed,1,1
Architecture,DJ Myosuke & Noizenecio,GDWither,1,1
Succession,DJ Myosuke,EA_Crazed,1,1
Temporary Euphoria,DJ Myosuke,EA_Crazed,1,1
Ultimate Angel,DJ Myosuke,DyamoDash,1,1
Winter Death,DJ Myosuke,DyamoDash,1,1
Clubstep,DJ Nate,mm1678YT,1,1
Electrodynamix,DJ Nate,mm1678YT,1,1
God Complex Rmx,DJ Nate,DyamoDash,1,1
The Beginning of Time,DJ Nate,Username_NotRequired,1,1
Theory Of Everything 2,DJ Nate,mm1678YT,1,1
Stargazer (PSYQUI Remix),DJ Noriken ft. YUC'e,AddictedToping,1,1
La'qryma of the Wasteland,DJ Noriken,Based & GDWither,1,1
#Magicalgirl_Syndrome,DJ Noriken,Crucru03,1,1
Speed of Light,DJ Okawari ft. Ai Ninomiya,OKZitro,1,1
We Luv Lama (Easy Version),DJ Sharpnel,Foxes_2,1,1
11Eleven,DJ Sharpnel,Duckocute & mm1678YT & Meteor_Melee,1,1
Pants,DJ Sharpnel,HaxagonYT,1,1
WE LUV LAMA,DJ Sharpnel,DyamoDash & gold_wolf,1,1
Teleportation de yattekita kare to no sonogo no tenmatsu,dj TAKA ft. Nakuru Aitsuki,DyamoDash,1,1
Quaver,DJ TAKA,mm1678YT,1,1
Quaver DJ Mashiro Remix,DJ Taka,M4eu,1,1
Chronoxia,DJ Totoriott,OKMasterz,1,1
STULTI,DJ TOTTO VS MAX MAXIMIZER,GDWither,1,1
